,YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
3002400,2015,7,7,2,UA,1108,N68802,SEA,EWR,2245,2241.0,-4.0,11.0,2252.0,310.0,290.0,269.0,2402,621.0,10.0,655,631.0,-24.0,0,0,,,,,,
4542737,2015,10,11,7,EV,5084,N538CA,10599,10397,540,541.0,1.0,15.0,556.0,55.0,56.0,32.0,134,728.0,9.0,735,737.0,2.0,0,0,,,,,,
1402750,2015,3,31,2,AA,341,N3KVAA,MIA,MSY,2135,2131.0,-4.0,17.0,2148.0,128.0,121.0,101.0,675,2229.0,3.0,2243,2232.0,-11.0,0,0,,,,,,
4807332,2015,10,27,2,AA,596,N167US,12889,14107,1635,1631.0,-4.0,11.0,1642.0,72.0,61.0,46.0,255,1728.0,4.0,1747,1732.0,-15.0,0,0,,,,,,
2776418,2015,6,24,3,AA,2228,N4WTAA,DFW,SMF,905,913.0,8.0,20.0,933.0,224.0,208.0,181.0,1431,1034.0,7.0,1049,1041.0,-8.0,0,0,,,,,,
1336704,2015,3,27,5,WN,46,N951WN,DAL,STL,1900,1902.0,2.0,9.0,1911.0,95.0,95.0,83.0,546,2034.0,3.0,2035,2037.0,2.0,0,0,,,,,,
4414159,2015,10,2,5,DL,2687,N995AT,10721,12953,1700,1701.0,1.0,36.0,1737.0,80.0,93.0,52.0,184,1829.0,5.0,1820,1834.0,14.0,0,0,,,,,,
1079922,2015,3,12,4,WN,228,N390SW,MCO,OMA,825,826.0,1.0,18.0,844.0,200.0,185.0,162.0,1211,1026.0,5.0,1045,1031.0,-14.0,0,0,,,,,,
4015031,2015,9,7,1,EV,4917,N538CA,VPS,ATL,916,912.0,-4.0,14.0,926.0,69.0,67.0,44.0,250,1110.0,9.0,1125,1119.0,-6.0,0,0,,,,,,
3657699,2015,8,15,6,WN,645,N215WN,DEN,SJC,1730,1755.0,25.0,10.0,1805.0,155.0,145.0,131.0,948,1916.0,4.0,1905,1920.0,15.0,0,0,,0.0,0.0,1.0,14.0,0.0
