,YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
626218,2015,2,11,3,WN,4542,N498WN,STL,LGA,1135,1201.0,26.0,7.0,1208.0,140.0,119.0,108.0,888,1456.0,4.0,1455,1500.0,5.0,0,0,,,,,,
4676492,2015,10,19,1,WN,141,N429WN,12889,14869,1215,1223.0,8.0,16.0,1239.0,75.0,75.0,54.0,368,1433.0,5.0,1430,1438.0,8.0,0,0,,,,,,
5566639,2015,12,15,2,AA,540,N178US,DFW,PHX,1735,1734.0,-1.0,18.0,1752.0,158.0,151.0,129.0,868,1901.0,4.0,1913,1905.0,-8.0,0,0,,,,,,
2645884,2015,6,16,2,NK,773,N531NK,BOS,ORD,1355,1347.0,-8.0,18.0,1405.0,169.0,213.0,138.0,867,1523.0,57.0,1544,1620.0,36.0,0,0,,36.0,0.0,0.0,0.0,0.0
211658,2015,1,14,3,MQ,3447,N683MQ,GRK,DFW,1714,1712.0,-2.0,12.0,1724.0,51.0,51.0,29.0,134,1753.0,10.0,1805,1803.0,-2.0,0,0,,,,,,
2217757,2015,5,21,4,B6,971,N784JB,LGA,FLL,1045,1041.0,-4.0,10.0,1051.0,189.0,163.0,146.0,1076,1317.0,7.0,1354,1324.0,-30.0,0,0,,,,,,
5006583,2015,11,9,1,WN,5484,N933WN,SLC,BWI,1340,1350.0,10.0,12.0,1402.0,240.0,244.0,214.0,1865,1936.0,18.0,1940,1954.0,14.0,0,0,,,,,,
3481691,2015,8,5,3,AA,1910,N569UW,CLT,LGA,955,952.0,-3.0,35.0,1027.0,116.0,119.0,77.0,544,1144.0,7.0,1151,1151.0,0.0,0,0,,,,,,
453471,2015,1,30,5,EV,4706,N14573,IAH,CLT,1658,1654.0,-4.0,10.0,1704.0,138.0,134.0,116.0,912,2000.0,8.0,2016,2008.0,-8.0,0,0,,,,,,
2073412,2015,5,12,2,AS,604,N531AS,SEA,LAS,1355,1352.0,-3.0,24.0,1416.0,140.0,152.0,121.0,867,1617.0,7.0,1615,1624.0,9.0,0,0,,,,,,
5292366,2015,11,28,6,AA,2337,N4XGAA,ORD,DFW,830,853.0,23.0,14.0,907.0,160.0,146.0,125.0,802,1112.0,7.0,1110,1119.0,9.0,0,0,,,,,,
